ENGLISH,"I had my dinner with Tuwo Miyar Kuka and Man Shanu at the house of Malam Abdulrahman Abdullahi, it was a delicious one. It makes my stay in Abuja a joyous one. I pray that may God Almighty bless me with a pious Wife and good cook. Thank you Abdurrahman!",0
ENGLISH,Drama among Delta delegates as Governor Okorocha was denied seat at Imo State delegates tent....,0
HAUSA,Yawwa Comrade keep up real update sabida illar yan BUHARISK.,1
ENGLISH,"In 2015 when u wia galvanising support for them nd using ur people's who are today tag as Criminals they wia happy but bcos u saw a sign of maladministration opened up to d whole world, u are now tag as a criminal, keep calm for it's said dt if been deser",1
HAUSA,Wai don Allah kaje wajen ne a matsayinka na dan jarida ne ko agent ne,0
ENGLISH,I hope you will not be like him. Be careful with lie! Lol,1
ENGLISH,"We're just so hypocritical in this country, the ZamfaraMassacre never got any media relevance like the less killings happened in #jos why? Because muslims are at the receiving",1
ENGLISH,foolish people will cry foul when it becomes your problem.,1
HAUSA,Governor #garuje haramta saka jar tagiya a kano.,1
ENGLISH,forget GOAT this man right here is our AKUYA #shege #NGAISL,0
HAUSA,amma fa kai dan iska ne. I had to read this again.,0
HAUSA,gandujiyas and kwankwasiyas are nothing but bunch of jokes. Siyasar jahilci kawai zallah bamis.,1
HAUSA,"malafa ta mutu a kano..su duna ashe siyasar koyo suke, yan malafa sun gudu",1
HAUSA,zamanin siyasar ci da addini ya wuce,1
HAUSA,abin kunya siyasar kano mtsww,1
HAUSA,shi shegen daura buhari har ya fito yayi tir da kisan da akayi ma birom.,1
HAUSA,masoya gunkin daura kun dade baku mutu ba dan na kushe shegen daura,1
HAUSA,idan shegene ke mulkarka kai kuma wanene kenan? ,1
HAUSA,kaga anan kanuna kai jahili ne dama a nigeria jahilan cikin tane matsalarmu. Jahilci mugn ciwo.,1
HAUSA,ubanka ma shegene sabo da uwarshi karuwa ce kai kuma dan shegiya tsinanne,1
HAUSA,shifa bafulatani in har kaga ya tayar da jijiyar wuya to an taba shine,0
HAUSA,sunyi daidai kuma ina fatan fulani zasu kara kwantan bauna su lababa su yi kisan kare dangi a arna jos,1
HAUSA,Allah ya taimaki musulunci da musulmai ya kuma karya kafirci da kafirai,1
HAUSA,to ko mulkinnan zaku karba ku ba iyayenku tunda shi yagaza ko sa gyara mana kasa mu gani,1
HAUSA,lokacin ubasanjo gar gwamna ya dakatar amma wallahi mu buhari baida anfani a wurinmu Allah ya isarmu,1
HAUSA,Ai buhari ba talakan arewa bane a gaban sa tunda yuwa da fatara da ya daura musu be kashe su yadda ya ke bukata ba shi yasa ya barsu su kashe kansu da kansu.,0
HAUSA,kayi mana shiru munafiki dan taada bola saraki kai da aka samu kana da kyakkyawar alaqa da yan taada masu fashi da makami,1
HAUSA,ubanka ne munafiki dan taada shege dan diyar mutanen banza,1
HAUSA,kaji munafiki sai su kunna wuta sukoma gefe sunayi kamar su waliyai Allah ya tona asirinku ,1
HAUSA,yana can harkar siyasa ya sa a gabansa baba buhari babu ruwansa da kashe-kashen da akeyi,1
HAUSA,kai dai bakayi sa'ar iyayeba,1
HAUSA,to dan ubansa ya sauka mana a jos a zamfara a kaduna a barno duk kisa akeyi shegen tsoho yana can taran siyasa,1
HAUSA,lallai kai jahiline. Whats the essence of the states government,1
HAUSA,"wallahi karyane, sai baba buhari 019 in Allah yaso. Idan bakayi bar kasar",1
HAUSA,"wallahi babu wadinsu fulani da suke kashe mana yan uwa a fadin nigeria, kawai kristoci ne kawai suke mana kisan mumuke, don haka ya kamata yan uwa wallahi ku farga, idan baku mantaba anfada a kafafan yada labarai da cewa gwamnan jahar benowe yana da hannu a chikin rikicin jahar.",1
HAUSA,"kai wallahi buhari akwai ban haushi, ba abinda ke gabanshi sai bukukuwan banza, ana can ana kashe bayin Allah mtsssw ",1
HAUSA,"kai ya kamata kaba kan ka haushi kana matashi iyayenka ma basu more ka ba, bare kasar ka.",1
HAUSA,ana kashe musulmi kai kuma karbar baqunci kk,1
HAUSA,duk tsiyarka dai bazaka kai lai mohammad ba wajan zuba karya domin shine shugaban makaryatan jamiyar APC,1
HAUSA,can ta matse ma maga makaryaci kai da shi,1
HAUSA,ina ganin kamanta da profeso na makaryata a mulkin zalunci wato #labaran maku#,1
HAUSA,wawa kawai dan shia,1
HAUSA,A dane yake ba barawo ba amma Buhari ba karamin barawo ne ba TSA NNPC funds ina yakaisu mu yanzu an den ayaudararmu da kuka,1
HAUSA,kanin lai mohammed a waja karya kucikawas talakawan nijeriya alkawarin dakuka daukamasu yafi yaudarar jahilai,1
HAUSA,makaryaci tun ba aje ko inaba ka fara fesa ta gizo daka ganinka bazakai abin arziki ba oshumole,1
HAUSA,babu babban barawo awannan gwamnatin kamar tsohon daura yanayi yanamakan yi,1
HAUSA,"to ai dan shia shima dan taadane, kullum neman tsari muke ga ta addancinsu",1
HAUSA,"ai, shi'ia ba'adinin musulunci bane, yahudanci. Kuma kafirci",1
HAUSA,"kai wayake ta shi,ah kukan ai andinga kasheku kenan tunda kunyarda da matan ubanku amma kuna zargin matan manzo Allah",1
HAUSA,kungiyar izala tayi Allah wadai da kisan gilllar da 'yan kabilar birom suka yi wa musulmai,1
HAUSA,"plateau musulmai ku tashi ku kare kawunan ku, da dazarar sun taba ku, ku rama ayi raga mutuwar kasko",1
HAUSA,ya kamata musulmai suyi turuwa aje jos duk a kashe qabilar daake tuhuma ko sauron waje kada yakai labari,1
HAUSA,abin yayi yawa Allah yawulakanta arnan jos masu kashin musulmai yanunamuna ranar dazamu daukar fansa,1
HAUSA,ai wannan zance haukama bazata dauka ba bare kuma hankali,0
HAUSA,krista da addinin krista kenan kome game da addinin kirista na neman abin duniya,1
HAUSA,karyar banza ana ware maku manyan kudi ta yaya zaku kawo karshen ta addanci a nigeria.,1
HAUSA,"kaje ko karkaje duk ubansu daya, tunda gashi anyi zabe Allah kuma yasa angama lafiya",1
HAUSA,kaji munafiki duk bala'in gabace dakakeyi da ganduje.,1
HAUSA,kai kai kai kice min dan biafra ne kuma cikakke kafirin inyamiri,1
HAUSA,david uwaka shege,1
HAUSA,MC daniska dai,1
HAUSA,aikin banza,1
HAUSA,ashe hadda yan daudu kenan,1
HAUSA,majalisar dattawan mabiya addinin kirista ta kasa (NCEF) ta bayyana cewa addinin kirista na barazanar bacewa daga doron kasar nigeriya musamman idan mabiya addinin krista ba su dunkule wuri guda ba kafin zaben 2019,1
HAUSA,majalisar dattawan mabiya addinin kirista ta kasa (NCEF) ta bayyana cewa addinin kirista na barazanar bacewa daga doron kasar nigeriya musamman idan mabiya addinin krista ba su dunkule wuri guda ba kafin zaben 2019,1
HAUSA,"mts mutanen banza, wani taimako kuka taba kawowa kasa da kuke neman hada kasa fada",1
HAUSA,munafukan banza kullum kana kashe musulmi kana qulla masu makirci ,1
HAUSA,"duk wata wuta a nigeria wlh wannan tsinaniyar CAN dinan take ruruta tawa, musulmai nawa akekashewa a najeriya",1
ENGLISH,"youre a filthy barbarian, an accursed  bastard. A devil, only good for the hottest chambers of hell.",1
HAUSA,wallahi duk wani munafiki a arewa twitter ya biyo bayan waspapping.,1
HAUSA,amma wannan tsinanne ne I swear,1
HAUSA,aikin tsinanne kenan wanda albarkan manya ta yanke masa,1
HAUSA,tsinanne kenan,1
HAUSA,ji fuskar tsinanne. Azzalumi,1
HAUSA,"salkida will never share things like this, tsinanne",1
HAUSA,"the person is worse than devil. Allah ya isanta, shege tsinanne he should be hanged",1
HAUSA,ai tsinanne ne,1
HAUSA,dan shegia so much example for your kids and younger ones..,1
HAUSA,"allah ya tsinemar, tsinanne mai zagin sahabbai",1
HAUSA,rooney caused this goal. Dan shegiya tsinanne,1
HAUSA,wawa tsinanne,1
HAUSA,shege dan umaru,0
HAUSA,in banda jahilcin kafiran birom miye na kashin wanda bai san hawa bai san sauka ba,1
HAUSA,daukar fansa da fulani sukeyi a kasar nan sunyi daidai domin da haka zaa kwaci ,0
HAUSA,bama daukar fansa bace karyane kawai domin musulmi ake kashewa,0
HAUSA,allah ya tsinewa wadannan kabilar birom din kuwa matsiyata tsinannu,1
HAUSA,mujahid kai babbn munafiki wanda ya tshi ba tarbiya idan kasan mutuncin iyayenka ba zaka ubanka kace mashi munafuki,1
HAUSA,idan kuma kai dan shia ne shine baka da daa to baka da laifi saboda Allah ya riga ya tsine muku,1
HAUSA,azzalumin banza dakai meyasa bakaje zariyaba kaja jantawa yan shi a ba kosu bamutane baneba,1
HAUSA,"yan shia ai dabbobi ne marasa hankali, kuma mai yasa ma zai jajanawa ku da ku kuka jama kanku ku dankwalo sai sarkin rigima imamuna janar burtai",1
HAUSA,karku yarda dasu mayaudara ne makaryata ne,1
HAUSA,hahha. Wannan pig din dan iska ne. Tutar naija burgesa kawai tayi inaji,1
HAUSA,ni dai hakoran kawai nagani,1
HAUSA,barawo inakudin da kayyi ruddaciki akansu,0
ENGLISH,you're telling us rubbish saying christian killed by Muslims.how many muslims killed by birom christians by blocking roads,0
ENGLISH,A post from an animal,1
ENGLISH,Mumu u use lie like no tomorrow am in barikin ladi u are posting lies and rubbish,1
ENGLISH,"pls ignore this fool called carles alvino, stupid man of the month",1
ENGLISH,"Big fool! Here yourself out ""Fulani Muslims"". You must be under the control of CODEINE as usual while making this non sense post.",1
ENGLISH,"God punish Arewa, God Punish all Fulanis",1
HAUSA,no dan ubanka,1
ENGLISH,ask the fulanis to come to your aid. They are the worst sort of elements you are likely to come across,1
ENGLISH,useles prostitute you said because of 5 cows.,1
HAUSA,burinka bazai cika ba daman kuke haddasa wannan wannan bala'in domin cimma burinku to Allah bazai baku sa'aba,0
HAUSA,sakarcin banza ina ministan tsaro bashida wani amfani yakamata buhari ya cireshi,0
HAUSA,Allah shi tarwatsa mana ku,1
HAUSA,Karyar banza zaije kamfe dai dama waye yake daukar nauyin nasu,1
HAUSA,?ÿAmma Ku Rariya dan gindin uwar Ku wannan labari kuka fara bayar wa?,1
HAUSA,Amma Kai dabba ne jaki kuma jahili Koda yake ba kauye ne Kai baka shugo birni ba tukuna ko ka shugo ma sekayi shekara 40 sanan zaka waye,1
HAUSA,kai Ahmad kaine asalin dabba ai abunda yafada ai gaskiyane,1
HAUSA,Allah yatsinemasu makaryata kawai,1
HAUSA,Aikin banza rayukan talakawa baya gabanku burinku kawai ku koma kan kujerunku,1
HAUSA,Tsinanne duk dabaran daukan rayukan yan qasa wanda keson tsira da mutumcinsu don neman halal dinsu da kuma mabiya ka iya amma baka iya kare rayin kowa ba balle lafia,1
HAUSA,WALLAHI Indai akwai kungiyar can nageria WALLAHI baza adaina kashe hausawa da fulaniba inbamantaba duk tashin hankalindake a Jos kungiyar cance kekashe hausawa,1
HAUSA,Ansamu Sakararrun Shuwagabanni,1
HAUSA,"Ananne yafara koyan fashi da mukami. yanzu harya zama frof na barayin gwamnatin kasata Nigeria. To duk wanda ya saci kudinmu, ya Allah kahana shi abinda ya kenema.",1
HAUSA,"Indararo, gida naso kana kai daji.",1
HAUSA,"Kaima Daga Reply Dinka Mungane Kanadaga Cikin Masu Bautawa Buhari, Malalaci Cimazaune",1
HAUSA,bakin kaya haka zaku kare,1
ENGLISH,"All dis hausas. U av one thin in common. And dat is u are senseless. Even if u av it, u av used ur sense to milk cows. Shege !! u and buhari",1
ENGLISH,"And they say NIGERIA is a country????. Mtchewwww, #Nigeriaiszoo, rubbish country, somebody should coman gimme any type of slap dah wee tke me to AMERICA pls,",1
HAUSA,Majalistar tarayya bata rago bace bata kurma bace bata matsoraci bace bata marowaci bace Hon Abdulhalim liman Dan maliki kai zakai kai zaka iya,0
HAUSA,Ta Yi Kira Ga Shugaba Buhari Ya Kara Kaimi Wajen Kawo Karshe Kashe-Kashe Da ke Faruwa A Kasar Nan,0
HAUSA,talauci Ai yafi hauka dan har kafirci yana mayarda mutum,0
HAUSA,Karamin shegene Idan Yana Son Mutuwar Ae Lokacin Da Yasa Sai Yasami Wajen Da Ba Mutane,0
HAUSA,Bakin talaucinda buhari yasa shiyasa buhari kenan,0
HAUSA,Too wasu suna naman duniya wasu kuma suna neman barinta allah kayauta,0
HAUSA,Allah ya tsine mishi,1
HAUSA,SHEGE ALLAH YASA YA MUTU DON YA SHIGA WUTA DA HUJJA,1
HAUSA,?ÿALLAH SARKI QASATA NAJERIYA WAI HAR JAHANNAMA TAFIKI DADI,0
HAUSA,Jahili kenan,0
HAUSA,Mtwss Shirmen Banza MunaFukin Dan Izala Kawai Se Karya,1
HAUSA,Gaskiya mutane jahilci yayi musu yawa toh mu sai mungodewa buhari,0
HAUSA,"To ai kaine ma ka tabbatar da jahilcin naka a fili,?ÿ",1
HAUSA,"kazo zakayiwa mutane kinibibi hada kawo hadisi don ace kanada ilimi, alhali bayaninka ya tona maka asiri",1
HAUSA,Amna kai jakine wlh ana yimusu kisan kare dangi kuma kazo kace su godemasa tsabar rashin adalci?ÿ,1
HAUSA,baa taba kashe yan xamfara masu yawa ba kamar lokacin wannan shegiyar gwamnatin,1
HAUSA,yan iskan banza marar kunya,1
HAUSA,?ÿkaton banza,1
HAUSA,tshon banza dan Tasha?ÿ,1
HAUSA,Allah ya isa siyasa ba hauka bache,0
HAUSA,Kayi asara sabo da sun zuciya kaqi fadar gaskiya.,1
HAUSA,Allah yatsine ma dakai da Buhari,1
HAUSA,Kaidai Allah wadaranka munyi asararka?ÿ,1
HAUSA,"Kaji wani jaki, ana kashesu kma a hkan xsuyi godiya,?ÿ",1
HAUSA,Allah ya isan su,1
HAUSA,"?ÿZakasha dauri ne tsohon munafiki makiyin arewa,?ÿ",1
HAUSA,"#Abokiÿ#Almajiri has done it. I am a Northerner, PROUDLY NIGERIAN!",0
ENGLISH,"When Musa was asking me out back then in Bukuru(Jos ) I was shaking buttocks and calling him Aboki,now am having heart ache ",1
ENGLISH,You will ask aboki if his orange is sweet and he will swear it is.,1
ENGLISH,I don't like Nigeria. #nigeriaiszoo,1
ENGLISH,My mother called me katon banza for letting a mosquito escape from my grasp in her room. ,0
HAUSA,Football din banza. World cup dinma yaci uwarsa,1
HAUSA,The refree should be completely blamed.. Banza Dan shegiya.,1
HAUSA,Banza Dan shekiya Racist kawai,1
HAUSA,"When they showed messi my mom said ""ji jikin dan banza , kazami duk tattoo """,0
HAUSA,Mu kuma katan banza muna nan muna halaka kan mu.,0
ENGLISH,"hunder and lightning will surely descend and fire you Olori burukwu, Anuofia, shege banza, just listen to your idiatic self",1
HAUSA,Zaka dawo. Zamu ci ubanka kuwa,1
HAUSA,"Liman Muhammad Kenan, Musulmin Da Ya Ceci Kiristoci Maza Da Mata 'Yan Kabilar Berom",0
HAUSA,Baku ma ji sunan ba ARNE,1
HAUSA,Allah ya shafe berom a doron duniya domin kafirai ne original basu kaunar musulmi ko kadan,1
HAUSA,"kamata yayi kabar tsinannu yan birom duka akashe su ,shegu jinin fir,auna",1
HAUSA,"No, yafi kyau yabari a halaka su birom. Mutane da basuda addini. Akwai irin wa'inda za'a musu haka basu ba.",0
HAUSA,"Amma ku wawaye ne Rariya, Bbc Hausa sun sakaya fuskar shi saboda Security amma ku saboda tsabagen rashin iya aiki yasa kunyi upload din shi qarara",1
HAUSA,?ÿA bincika sosai ba mamaki yan kungiyar taadanci ce ta CAN.,1
HAUSA,Sojoji gomnati ne dai sun halaka yan ta'da a garin keana jihar nasrawa. Alzalumai ku ci gaba da kariyan ku.,0
HAUSA,Karya ce kawai,0
HAUSA,aikin banza,1
HAUSA,karyar banza da wofi.,1
HAUSA,"Amma fa har yanzu kasar india akwai talauci,",0
HAUSA,giyar mulki kinan sai natuna lokachin da baba yake campin harkuka yayi yachi talaka yana shan wahala?ÿ,0
HAUSA,"tabbas yayi abinda yadace duk musulmin kirki yayi,,,,,,, amma Fah karyayi tunanin akwai wani kirista dazai iya yimasa hakan koda kuwa daga cikin wadanda ya cetane .",0
HAUSA,Irin wanan qiyayyar har yanzu akwaita tsakaninmu dasu.,0
HAUSA,kuce sojoji kawai sunkashe fulani,0
HAUSA,Wasukiristochi sunkashe filani zakuche wan nan iskanchine dakirista aka kashe saikuche filana?ÿ,0
HAUSA,AHAKA zakaji buhari nacema fulani yan ta adda wai gaddafi yabasu bindiga suna ta addanci sbd yaga basu gata,0
HAUSA,Allah yakara daukaka alhÿSule Dudu Kofar Marusa?ÿAllah yakara yimaku jagoranchi na alkairi,0
HAUSA,Ba'a san mace tuwo ba sai miya ta kare,0
